频道检测报告 | 时间: 2026-03-06 10:20:49.087694
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 1.2s
🟢 [有效] CCTV-5高清        | 耗时: 1.12s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-5高清        | 耗时: 1.18s
🔴 [失效] CCTV-2高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-5+高清       | 耗时: 1.95s
🟢 [有效] CCTV-5高清        | 耗时: 1.15s
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 1.31s
🔴 [失效] CCTV-1高清4M      | 无法获取视频流
🟢 [有效] CCTV-5高清        | 耗时: 1.17s
🔴 [失效] CCTV-1高清4M      | 无法获取视频流
🟢 [有效] CCTV-3高清        | 耗时: 4.01s
🟢 [有效] CCTV-5高清        | 耗时: 1.15s
🔴 [失效] CCTV-1超清        | 无法获取视频流
🔴 [失效] CCTV-1高清4M      | 无法获取视频流
🟢 [有效] CCTV-5高清        | 耗时: 1.19s
🟢 [有效] CCTV-5高清        | 耗时: 1.12s
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.1s
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 2.01s
🔴 [失效] CCTV-2高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.15s
🔴 [失效] CCTV-2高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.16s
🔴 [失效] CCTV-2高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.21s
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 1.99s
🔴 [失效] CCTV-2高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-2高清        | 无法获取视频流
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.31s
🟢 [有效] CCTV-6高清        | 耗时: 1.11s
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.19s
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.38s
🔴 [失效] CCTV-2高清        | 无法获取视频流
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 2.09s
🔴 [失效] CCTV-2高清        | 无法获取视频流
🟢 [有效] CCTV-6高清        | 耗时: 1.18s
🟢 [有效] CCTV-5高清        | 耗时: 1.96s
🟢 [有效] CCTV-6高清        | 耗时: 1.12s
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.12s
🔴 [失效] CCTV-2高清测试(CCTV -2财经高清) | 无法获取视频流
🔴 [失效] CCTV-2高清测试(CCTV -2财经高清) | 无法获取视频流
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.14s
🟢 [有效] CCTV-5高清        | 耗时: 1.97s
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 1.96s
🔴 [失效] CCTV-2高清测试(CCTV -2财经高清) | 无法获取视频流
🟢 [有效] CCTV-6高清        | 耗时: 1.57s
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.14s
🟢 [有效] CCTV-6高清        | 耗时: 1.79s
🔴 [失效] CCTV-3高清        | 无法获取视频流
🔴 [失效] CCTV-2高清测试(CCTV -2财经高清) | 无法获取视频流
